heldout_frame,weighting,train_frame_count,train_point_count,status,accepted_steps,trial_count,final_radius,train_invalid_count,heldout_invalid_count,train_theta_scaled_l2,train_theta_scaled_max_abs,train_before_bias_mm,train_before_mae_mm,train_before_rmse_mm,train_before_p95_abs_mm,train_before_residual_energy,train_after_bias_mm,train_after_mae_mm,train_after_rmse_mm,train_after_p95_abs_mm,train_after_residual_energy,train_explained_fraction,heldout_before_bias_mm,heldout_before_mae_mm,heldout_before_rmse_mm,heldout_before_p95_abs_mm,heldout_before_residual_energy,heldout_after_bias_mm,heldout_after_mae_mm,heldout_after_rmse_mm,heldout_after_p95_abs_mm,heldout_after_residual_energy,heldout_explained_fraction,final_theta_axis,delta_scale_theta_axis,final_phi_axis,delta_scale_phi_axis,final_A_x,delta_scale_A_x,final_A_y,delta_scale_A_y,final_A_z,delta_scale_A_z,final_alpha,delta_scale_alpha
004,frame_equal,9,15985,max_accepted_steps,20,20,1,0,0,17.4288514598,14.113778441,-0.0688446970019,0.144459345433,0.187558511413,0.375207638978,562.323450326,0.00184003060121,0.0591651932084,0.0790770824356,0.166840412957,99.95716169,0.822242587194,-0.0686693115304,0.153072163467,0.214569583975,0.533361940927,72.697327954,0.00917493679326,0.0580958661936,0.0831098811821,0.236675669315,10.9065514608,0.849973145262,2.10204185871,14.113778441,0.0061744117963,-0.220917562852,-207.386151883,-9.17864444617,23.7326833905,2.1990793975,363.908563048,3.68754892825,1.5569740742,1.3549301061
004,v_region_equal,9,15985,max_accepted_steps,20,20,1,0,0,17.3735055408,14.0977389308,-0.0545993201935,0.143003248471,0.185987521916,0.3856171609,552.942862558,0.00354602850089,0.061085208272,0.0817792585768,0.180226569066,106.905236427,0.806661332181,-0.0166316466969,0.155192963791,0.233948982468,0.613915387498,86.422027582,0.0267834102311,0.0664601415778,0.0981856159642,0.267203571008,15.2222155728,0.823861855609,2.10176191644,14.0977389308,0.00639614875264,-0.208212971091,-207.602362585,-9.2002655164,19.2140040647,1.74721146491,363.016029446,3.59829556813,1.55731523045,1.55039823992
005,point_equal,9,14710,max_accepted_steps,20,20,1,0,0,17.4312892714,14.1117566212,-0.0687785492012,0.151497482064,0.198223125802,0.392874042487,577.991315837,0.00185310864151,0.0618479654823,0.0818323364474,0.174073690044,98.505975253,0.82957187668,-0.0667434995746,0.097853905945,0.114885752737,0.198826296081,37.6691930631,-0.0233425045471,0.0430033943659,0.0580532628443,0.115308905141,9.6184975069,0.744658785475,2.10200657129,14.1117566212,0.0061230538177,-0.22386015827,-207.411092715,-9.18113852942,24.0393596595,2.22974702439,363.838982415,3.68059086496,1.55698076056,1.35876110884
005,frame_equal,9,14710,max_accepted_steps,20,20,1,0,0,17.4339993808,14.1133884783,-0.0690586761081,0.15059470738,0.197046279678,0.391779011778,571.148646489,0.00198584504999,0.0615479134213,0.0815087855207,0.173688664791,97.728563942,0.828891192262,-0.0667434995746,0.097853905945,0.114885752737,0.198826296081,37.6691930631,-0.0232075032274,0.0428739816669,0.0579309667988,0.115082504007,9.57801519325,0.745733465083,2.10203505257,14.1133884783,0.00612031479347,-0.224017092798,-207.453959029,-9.1854251608,24.085256739,2.23433673234,363.803938246,3.67708644811,1.55696460037,1.3495019995
005,v_region_equal,9,14710,max_accepted_steps,20,20,1,0,0,17.3606211873,14.0814003865,-0.0476290482998,0.150888112413,0.200773236167,0.425532249848,592.958516627,0.00377733468747,0.0648621901066,0.0863309688455,0.182274038828,109.634162234,0.815106522362,-0.0636228459436,0.0990913278325,0.117137579477,0.208553901733,39.1603405486,-0.0256928434536,0.0493382650113,0.0643076562627,0.12145497489,11.8026446625,0.698607200622,2.10147675505,14.0814003865,0.00635100903041,-0.210799286664,-207.614861482,-9.20151540609,19.1265364069,1.73846469913,362.648536847,3.56154630821,1.55746977196,1.63894400153
006,point_equal,9,15983,max_accepted_steps,20,20,1,0,0,17.4377514576,14.1112242078,-0.0691001832532,0.143289371219,0.189044642413,0.37625255921,571.198485294,0.00124654754598,0.0574095942877,0.0778349348541,0.15318588069,96.8294426294,0.830480218134,-0.0618533697665,0.137640093954,0.167698306724,0.344174715958,44.4620236055,0.010904314598,0.0631085184001,0.0826048190106,0.183520243377,10.7880422317,0.757365019473,2.10199727893,14.1112242078,0.00610182353612,-0.225076563802,-207.257624644,-9.16579172236,24.9709394996,2.3229050084,364.167360015,3.71342862495,1.5568853678,1.3041050826
006,frame_equal,9,15983,max_accepted_steps,20,20,1,0,0,17.4405665177,14.1099809735,-0.0696020238645,0.146174019823,0.192792675379,0.383764749253,594.072377613,0.00136760353534,0.0587591285754,0.0790111607612,0.161020861828,99.7780894175,0.832043883578,-0.0618533697665,0.137640093954,0.167698306724,0.344174715958,44.4620236055,0.0095457091373,0.0637975660341,0.0832529556873,0.182712328686,10.9579973711,0.753542540746,2.10197558039,14.1099809735,0.00607314374147,-0.226719794993,-207.300553515,-9.17008460938,25.2499630862,2.35080736706,364.095479441,3.7062405676,1.5568697489,1.29515611259
006,v_region_equal,9,15983,max_accepted_steps,20,20,1,0,0,17.3964489282,14.1124617127,-0.0544821904374,0.144643772378,0.192787061919,0.406001907381,594.037783425,0.00355492948937,0.0612694421395,0.0828047090144,0.181722928588,109.589354822,0.815517871287,-0.0424204112172,0.128708346411,0.158961750677,0.290193267207,39.9500331597,0.0189620565616,0.0654715902633,0.0852622120639,0.178717725448,11.4933084383,0.712307912427,2.10201887746,14.1124617127,0.00630873052008,-0.213221666869,-207.708914056,-9.21092066354,20.0310781456,1.828918873,363.14191348,3.61088397152,1.55720090356,1.48489375696
007,point_equal,9,16190,max_accepted_steps,20,20,1,0,0,17.4195817836,14.1161550464,-0.0626988422368,0.141024959056,0.187063407319,0.381404494476,566.53211021,0.00185421176769,0.0586823377971,0.0794636066599,0.170746601736,102.231184843,0.819549178236,-0.136189338226,0.163470830874,0.189091905386,0.345730151272,49.1283986897,-0.0220169517124,0.0503827755211,0.062900041067,0.117492633555,5.43611443841,0.889348837263,2.10208333829,14.1161550464,0.00622227825334,-0.218175016883,-207.364394066,-9.17646866448,22.7059813613,2.09640919458,363.928426282,3.68953525168,1.55702339846,1.38319082258
007,frame_equal,9,16190,max_accepted_steps,20,20,1,0,0,17.4204388211,14.1161991091,-0.0613424718135,0.143303937943,0.190580433447,0.391011920051,588.035397111,0.00199729451435,0.0603332280832,0.0810644791096,0.175786634619,106.39177183,0.819072504219,-0.136189338226,0.163470830874,0.189091905386,0.345730151272,49.1283986897,-0.0233169692654,0.0507494118576,0.0632606948976,0.119046220818,5.49863192301,0.888076304751,2.10208410733,14.1161991091,0.00621003384857,-0.218876569599,-207.411539919,-9.18118324981,22.6962918408,2.09544024253,363.851239929,3.68181661633,1.55702511288,1.38417311329
007,v_region_equal,9,16190,max_accepted_steps,20,20,1,0,0,17.3571305396,14.0861529414,-0.0501712023224,0.143835788905,0.192540068946,0.410228368583,600.190469241,0.00366384405574,0.0630971811622,0.0847772952807,0.186610804473,116.360602783,0.806127206702,-0.0917144435847,0.142017900225,0.16652108941,0.328635540264,38.1000214021,-0.00610125142662,0.0459837502192,0.0609015629671,0.12024713516,5.0961665109,0.866242423932,2.10155970278,14.0861529414,0.00641438387317,-0.207168175646,-207.574671097,-9.19749636764,18.5391588229,1.67972694073,362.815608011,3.57825342458,1.55741705237,1.60873789859
008,point_equal,9,15717,max_accepted_steps,20,20,1,0,0,17.4247526997,14.1214597294,-0.061523601203,0.137846698247,0.183179271689,0.370175962409,527.378364524,0.00237240004553,0.0576996188677,0.0781042566949,0.16179394672,95.8780208212,0.818198797541,-0.12736977067,0.184767976388,0.218626594088,0.43514723445,88.2821443756,-0.0314764269908,0.0605526697321,0.0799846586394,0.179197195857,11.8162667558,0.866153378586,2.10217592248,14.1214597294,0.00623157430119,-0.217642392575,-207.508738567,-9.19090311463,22.4921370169,2.07502476013,363.780798769,3.67477250034,1.55700020592,1.36990247729
008,frame_equal,9,15717,max_accepted_steps,20,20,1,0,0,17.4283990187,14.1199148673,-0.0623224237641,0.140937588442,0.187037214228,0.377803420928,549.826545878,0.00245320622576,0.0590892945597,0.0793743144738,0.165716245662,99.021529022,0.819904059263,-0.12736977067,0.184767976388,0.218626594088,0.43514723445,88.2821443756,-0.032849631827,0.0614100159558,0.08007883952,0.174235844204,11.8441101353,0.865837987749,2.10214895955,14.1199148673,0.00619888361285,-0.219515431046,-207.547351256,-9.19476438351,22.89346369,2.11515742745,363.709217543,3.66761437779,1.5569895428,1.36379295908
008,v_region_equal,9,15717,max_accepted_steps,20,20,1,0,0,17.3421861828,14.0755524198,-0.0411153977555,0.142615718209,0.192608552227,0.412970528313,583.070120862,0.00427339290786,0.0630281242838,0.0847379666177,0.183322538363,112.856279779,0.806444755543,-0.123923921072,0.16850260806,0.199167321338,0.366783186625,73.2660976292,-0.0369145224332,0.0602076475129,0.0784171184406,0.138440639571,11.357654526,0.844980763361,2.10137468878,14.0755524198,0.00643959475008,-0.205723698802,-207.650636045,-9.20509286242,17.6825980082,1.59407085926,362.463545088,3.54304713232,1.55750880433,1.66130790184
009,point_equal,9,15749,max_accepted_steps,20,20,1,0,0,17.410934066,14.09859115,-0.0573116914798,0.134412049453,0.180246885734,0.36115461459,511.668313174,0.00173811651843,0.0572476336555,0.077295048192,0.162922403309,94.0927859569,0.816105896077,-0.165078004089,0.21539814981,0.239365777851,0.410432589088,103.992195725,-0.0429544898296,0.0688213007217,0.0870725431183,0.15178752431,13.7606543936,0.867676085713,2.10177679047,14.09859115,0.00618338730919,-0.220403303844,-207.27744365,-9.16777362291,23.6213093181,2.18794199026,363.823409168,3.67903354032,1.5570473219,1.39689794715
009,frame_equal,9,15749,max_accepted_steps,20,20,1,0,0,17.4155552453,14.0982869553,-0.058132620051,0.137534235839,0.184194307908,0.368945826847,534.324875742,0.00186191124633,0.0586146910682,0.0785234215748,0.167843446069,97.1071959114,0.818261884632,-0.165078004089,0.21539814981,0.239365777851,0.410432589088,103.992195725,-0.0443161565459,0.069667674562,0.08788122368,0.154193253559,14.017443698,0.865206772487,2.10177148127,14.0982869553,0.00615387125599,-0.22209444912,-207.332376298,-9.17326688767,23.9494967306,2.2207607315,363.740400078,3.6707326313,1.55703751785,1.39128063882
009,v_region_equal,9,15749,max_accepted_steps,20,20,1,0,0,17.3475407099,14.079337112,-0.03674837487,0.137635193971,0.188227990063,0.41016774383,557.983546052,0.00409214994011,0.061676745823,0.0831692260815,0.183523108654,108.93772551,0.804765344281,-0.162457983367,0.211067637964,0.233140942651,0.402366097244,98.6537789397,-0.0494701646406,0.0719056492894,0.0914731908852,0.157275324858,15.1867305411,0.846060326282,2.10144074412,14.079337112,0.00640791315546,-0.207538920461,-207.623741593,-9.20240341724,18.1076307823,1.63657413668,362.616257839,3.55831840739,1.55744624283,1.62546280119
010,point_equal,9,16072,max_accepted_steps,20,20,1,0,0,17.4287985073,14.117946784,-0.0642361812592,0.139271269073,0.184009273846,0.359696736663,544.188483506,0.00180975348817,0.0571858882283,0.077566489271,0.151870349073,96.6981564637,0.822307602247,-0.113816689905,0.180586576535,0.218868687287,0.45316074225,71.4720253941,-0.0335830509616,0.0647873427525,0.0859316352669,0.196971209909,11.017294942,0.845851647813,2.10211461002,14.117946784,0.0062045253931,-0.219192180849,-207.383716807,-9.17840093861,23.3649566204,2.16230672048,363.967812003,3.69347382373,1.55697558867,1.35579783483
010,frame_equal,9,16072,max_accepted_steps,20,20,1,0,0,17.431812461,14.117755093,-0.063828321627,0.141402188426,0.18700575182,0.362260770832,562.056342306,0.00196955119088,0.0583888630295,0.0787143954149,0.158465191827,99.5814055637,0.822826649095,-0.113816689905,0.180586576535,0.218868687287,0.45316074225,71.4720253941,-0.0358243572924,0.0660916377526,0.0861188291047,0.192444484493,11.0653474677,0.845179321466,2.10211126438,14.117755093,0.00618429744853,-0.220351156701,-207.439750362,-9.18400429407,23.5553480796,2.18134586641,363.882926215,3.684985245,1.55696721504,1.35100009559
010,v_region_equal,9,16072,max_accepted_steps,20,20,1,0,0,17.3589235309,14.0945614172,-0.0443302244658,0.138177527486,0.186063675956,0.362652598201,556.407681951,0.00395896302298,0.0600783322035,0.0818881745463,0.169942676242,107.773578554,0.806304653854,-0.104035682357,0.201944641667,0.242107757741,0.469406148125,87.455320207,-0.0354701378888,0.0783716223689,0.100551927192,0.20140147026,15.0851495724,0.827510212795,2.10170645837,14.0945614172,0.00647531136714,-0.203677287385,-207.651133284,-9.20514258627,17.5433496774,1.58014602618,362.783817744,3.57507439786,1.55743509825,1.61907742937
