threshold,split,image_id,frame_key,u_px,v_px,response,ray_x,ray_y,ray_z,Xc_mm,Yc_mm,Zc_mm,board_nx,board_ny,board_nz,board_d_mm,pnp_rmse_px,fit_group,frame_id,lambda_truth_mm,in_v_domain,v_bin_index,v_bin,lambda_quadratic_mm,quadratic_valid,residual_mm,abs_residual_mm,xn,yn,pca_s,pca_t,frame_residual_median_mm,residual_centered_mm,abs_centered_residual_mm,s_bin_index,s_bin,response_quintile,Xb_mm,Yb_mm,Zb_mm,mask_boundary_distance_mm,mask_boundary_band,pnp_boundary_source,pnp_boundary_rmse_px
abs_gt_p95,fit,1,fit_001_018:1,2000.1240087798,1464.0467324991173,15.133601376598518,-0.0095390153607186,-0.0065845436877504,1.0,-6.471365917799862,-4.467022013681087,678.4102628085393,0.0440384772458224,-0.416589625356542,-0.9080273655387072,614.4391577660416,0.1632905369509895,fit_001_018,001,678.4102628085393,True,14,v_1400_1500,678.2297131164489,True,0.18054969209038063,0.18054969209038063,-0.0095390153607186,-0.0065845436877504,0.007064342044839116,-0.0004562915441097498,0.02016342672590099,0.16038626536447964,0.16038626536447964,5,s_-0.02195_+0.01213,response_q40_60,75.42314545359713,100.0605463021489,-2.581529008726797e-14,59.93945369785111,interior_gt_10mm,reused_frame_board_geometry_summary,0.1632905369509895
abs_gt_p95,fit,1,fit_001_018:1,1936.14203410641,1865.982240658232,5.830288187982202,-0.0182483892739837,0.0481181329970446,1.0,-12.071060892920244,31.829489427269284,661.4863762320998,0.0440384772458224,-0.416589625356542,-0.9080273655387072,614.4391577660416,0.1632905369509895,fit_001_018,001,661.4863762320998,True,18,v_1800_1900,661.291134431719,True,0.1952418003808134,0.1952418003808134,-0.0182483892739837,0.0481181329970446,0.0618231671024417,0.007892786773474252,0.02016342672590099,0.1750783736549124,0.1750783736549124,7,s_+0.04621_+0.08029,response_q20_40,81.58544987711602,60.095095377112436,8.271393247661656e-14,80.09509537711244,interior_gt_10mm,reused_frame_board_geometry_summary,0.1632905369509895
abs_gt_p95,fit,2,fit_001_018:2,2009.7788816067464,1123.996945665953,1.2898310390897922,-0.008224459722678,-0.0528598292063471,1.0,-5.590416986885699,-35.93044371099647,679.7306054610207,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7306054610207,True,11,v_1100_1200,679.9486017111005,True,-0.21799625007986378,0.21799625007986378,-0.008224459722678,-0.0528598292063471,-0.039218594476826976,-0.0014661892045569097,0.04240237181784323,-0.260398621897707,0.260398621897707,4,s_-0.05604_-0.02195,response_q00_20,60.01056888136143,136.6964023294394,-7.743225465522633e-14,23.303597670560606,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.846615129723,1126.0011187146893,1.7613618863114335,-0.0082152457336349,-0.0525870459707184,1.0,-5.584194582716462,-35.7452846514934,679.7355506790988,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7355506790988,True,11,v_1100_1200,679.9749799229672,True,-0.23942924386847153,0.23942924386847153,-0.0082152457336349,-0.0525870459707184,-0.03894587780743506,-0.001477198721800289,0.04240237181784323,-0.28183161568631476,0.28183161568631476,4,s_-0.05604_-0.02195,response_q00_20,59.99149108525095,136.51205730372098,-2.7477669756404413e-14,23.48794269627902,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.8784144451567,1126.999590084714,2.115557204744237,-0.0082109201175732,-0.0524511467249181,1.0,-5.581273972042529,-35.653034718122406,679.7379455802177,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7379455802177,True,11,v_1100_1200,679.9875564172107,True,-0.24961083699304254,0.24961083699304254,-0.0082109201175732,-0.0524511467249181,-0.03881000998177432,-0.0014824188667816552,0.04240237181784323,-0.29201320881088577,0.29201320881088577,4,s_-0.05604_-0.02195,response_q20_40,59.98217806029088,136.42020098498827,4.539864767618053e-15,23.57979901501173,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.9004633958773,1127.9982980597188,2.6423235692401548,-0.0082079215550264,-0.0523152154687623,1.0,-5.579252564076768,-35.56074434770612,679.7399958897158,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7399958897158,True,11,v_1100_1200,679.9973059189169,True,-0.2573100292011077,0.2573100292011077,-0.0082079215550264,-0.0523152154687623,-0.03867410141047878,-0.001486312197726498,0.04240237181784323,-0.2997124010189509,0.2997124010189509,4,s_-0.05604_-0.02195,response_q20_40,59.973823627612646,136.32824444207048,-9.574072223115706e-14,23.671755557929515,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.896977885606,1128.9968265485556,3.0937593254539357,-0.0082083983018069,-0.0521793087974029,1.0,-5.579586041634927,-35.468422988691906,679.7411427277705,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7411427277705,True,11,v_1100_1200,679.9996502431138,True,-0.2585075153433536,0.2585075153433536,-0.0082083983018069,-0.0521793087974029,-0.03853819454553902,-0.0014867301328059786,0.04240237181784323,-0.3009098871611968,0.3009098871611968,4,s_-0.05604_-0.02195,response_q20_40,59.96798464048404,136.23610017472652,-5.071286680595472e-14,23.763899825273484,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.8429201228776,1130.9942290583772,3.4207153233076824,-0.0082157604112479,-0.0519074489599519,1.0,-5.584595533755685,-35.283661294885086,679.7417712072004,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7417712072004,True,11,v_1100_1200,679.9906840848001,True,-0.24891287759976422,0.24891287759976422,-0.0082157604112479,-0.0519074489599519,-0.03826629213411486,-0.0014811578320214358,0.04240237181784323,-0.29131524941760745,0.29131524941760745,4,s_-0.05604_-0.02195,response_q20_40,59.96094113529374,136.0514037683438,5.721892781055663e-15,23.94859623165621,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.81138872286,1131.9901292471257,3.598330973231686,-0.0082200542518335,-0.051771900594849,1.0,-5.587515481122909,-35.19153124766169,679.7419226128052,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7419226128052,True,11,v_1100_1200,679.9848844965502,True,-0.2429618837450107,0.2429618837450107,-0.0082200542518335,-0.051771900594849,-0.038130718439797914,-0.0014777563972803202,0.04240237181784323,-0.28536425556285394,0.28536425556285394,4,s_-0.05604_-0.02195,response_q20_40,59.95788009043452,135.9592781767742,2.435388632697859e-15,24.040721823225795,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.7683093495607,1132.9821819820313,3.8663114142187793,-0.008225919782578,-0.0516368760767219,1.0,-5.591500373204779,-35.09973589404848,679.7416606282953,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7416606282953,True,11,v_1100_1200,679.9757228694207,True,-0.23406224112534346,0.23406224112534346,-0.008225919782578,-0.0516368760767219,-0.037995658234693835,-0.001472779857959214,0.04240237181784323,-0.2764646129431867,0.2764646129431867,4,s_-0.05604_-0.02195,response_q20_40,59.955980001041304,135.86741564575064,-3.078258305977514e-14,24.13258435424936,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.709645230348,1133.974575097825,4.197731298703814,-0.0082339064252325,-0.051501805404852,1.0,-5.596922534082017,-35.007880868427726,679.7408477864661,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7408477864661,True,11,v_1100_1200,679.9620432123996,True,-0.2211954259335016,0.2211954259335016,-0.0082339064252325,-0.051501805404852,-0.0378605379135999,-0.0014656825565179088,0.04240237181784323,-0.26359779775134484,0.26359779775134484,4,s_-0.05604_-0.02195,response_q20_40,59.95561244060425,135.77539786936185,3.761036755544649e-14,24.224602130638146,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.6418397622465,1135.9602322862845,5.695153180316797,-0.0082431395156803,-0.0512315462634077,1.0,-5.60319969161296,-34.82418120886155,679.7409750198157,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7409750198157,True,11,v_1100_1200,679.9490414157575,True,-0.20806639594184162,0.20806639594184162,-0.0082431395156803,-0.0512315462634077,-0.037590223846859214,-0.0014582287779099051,0.04240237181784323,-0.25046876775968485,0.25046876775968485,4,s_-0.05604_-0.02195,response_q20_40,59.94999542276346,135.59167679563785,-5.462945886913876e-14,24.408323204362148,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,2,fit_001_018:2,2009.611480639943,1136.9432067485816,6.935975972455001,-0.0082472737319518,-0.0510977582121567,1.0,-5.606011342906006,-34.73324900380454,679.7411514531192,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,0.1479843204103541,fit_001_018,002,679.7411514531192,True,11,v_1100_1200,679.9435332319148,True,-0.2023817787955977,0.2023817787955977,-0.0082472737319518,-0.0510977582121567,-0.03745641147905596,-0.0014549753759050918,0.04240237181784323,-0.24478415061344094,0.24478415061344094,4,s_-0.05604_-0.02195,response_q20_40,59.946898987107936,135.5007536714369,1.2692401018379094e-14,24.49924632856309,interior_gt_10mm,reused_frame_board_geometry_summary,0.1479843204103541
abs_gt_p95,fit,3,fit_001_018:3,1815.448964216365,171.0974937516803,1.969570622425625,-0.0346976596453512,-0.1827266914684111,1.0,-21.68649904547224,-114.20661395077444,625.0133083076036,0.0219733675195222,0.323978344139353,-0.9458092850297968,628.6203853557946,0.1508233651220441,fit_001_018,003,625.0133083076036,True,1,v_0100_0200,624.6768623705503,True,0.33644593705321313,0.33644593705321313,-0.0346976596453512,-0.1827266914684111,-0.16890837010515738,0.02586134865403993,0.08424752230428112,0.252198414748932,0.252198414748932,0,s_-0.19237_-0.15828,response_q20_40,-19.74380997033536,80.87340782520295,-3.042443928366465e-14,0.25619002966464066,edge_0_5mm,reused_frame_board_geometry_summary,0.1508233651220441
