scope,frame_id,centering,predictor,n_points,x_min,x_max,x_span,y_mean_mm,y_std_mm,y_p05_mm,y_p95_mm,slope_mm_per_x,slope_mm_per_x_span,pearson_r,linear_r2,binned_explained_fraction,low_frequency_amplitude_mm,low_frequency_bin_mean_std_mm,low_frequency_bin_count,frame_count,global_slope_mm_per_x_span,frame_slope_median_mm_per_x_span,frame_slope_p05_mm_per_x_span,frame_slope_p95_mm_per_x_span,frame_same_sign_fraction,frame_binned_ev_median,frame_low_frequency_amplitude_median_mm,frame_low_frequency_amplitude_p75_mm
global,,raw,v,32400.0,0.0273284755403917,2999.064716731013,2999.0373882554727,0.004186809749711935,0.1013438502260987,-0.14408190426068473,0.15047687775243615,-1.3991979550739138e-06,-0.004196246980837269,-0.010071788697781026,0.00010144092757291556,0.27312285215647225,0.20047587445966694,0.055317685087859135,12.0,,,,,,,,,
global,,raw,s,32400.0,-0.19236540719846723,0.2166209347652564,0.40898634196372363,0.004186809749711935,0.1013438502260987,-0.14408190426068473,0.15047687775243615,-0.010439421698276165,-0.004269580892594692,-0.010234853293119746,0.00010475222193184752,0.27344172009275003,0.20050622297394924,0.05534996706390433,12.0,,,,,,,,,
global,,raw,t,32400.0,-0.017651677827221247,0.04148079141437432,0.05913246924159557,0.004186809749711935,0.1013438502260987,-0.14408190426068473,0.15047687775243615,-0.06386829611453693,-0.0037766900555059727,-0.00734312225890636,5.392144450933056e-05,0.021362961148183368,0.05944859978269745,0.015470904434643743,12.0,,,,,,,,,
global,,frame_median_subtracted,v,32400.0,0.0273284755403917,2999.064716731013,2999.0373882554727,-0.003338208696141234,0.0875832635993155,-0.13878170975454793,0.1282770182732804,-1.0934184816630114e-06,-0.0032792029075169025,-0.009107310220642368,8.294309945489076e-05,0.3335080251150009,0.18677376294537307,0.052827717506286904,12.0,,,,,,,,,
global,,frame_median_subtracted,s,32400.0,-0.19236540719846723,0.2166209347652564,0.40898634196372363,-0.003338208696141234,0.0875832635993155,-0.13878170975454793,0.1282770182732804,-0.008275941526585213,-0.003384747051263761,-0.009388557487020343,8.814501168696864e-05,0.33412973327369144,0.18697085579136852,0.05287693390965665,12.0,,,,,,,,,
global,,frame_median_subtracted,t,32400.0,-0.017651677827221247,0.04148079141437432,0.05913246924159557,-0.003338208696141234,0.0875832635993155,-0.13878170975454793,0.1282770182732804,-1.0102911263071834,-0.05974100895141647,-0.13440587205167587,0.018064938441971434,0.052782256575278685,0.08331365510261725,0.021016126756965958,12.0,,,,,,,,,
frame,001,raw,v,900.0,898.0115496512335,2733.9901017992115,1835.978552147978,0.02343644272388992,0.05718521076638409,-0.07968629237804521,0.1182647670028075,-5.8645963693185634e-05,-0.10767273151073785,-0.520068389898583,0.2704711301717043,0.6844093830702633,0.154045569394187,0.04938494508687322,12.0,,,,,,,,,
frame,001,raw,s,900.0,-0.07005757224740757,0.18029094836900852,0.2503485206164161,0.02343644272388992,0.05718521076638409,-0.07968629237804521,0.1182647670028075,-0.4303708436978603,-0.10774270403619816,-0.5201763875295112,0.27058347414325234,0.6844093830702633,0.154045569394187,0.04938494508687322,12.0,,,,,,,,,
frame,001,raw,t,900.0,-0.012467663216135585,0.025546811337268327,0.03801447455340391,0.02343644272388992,0.05718521076638409,-0.07968629237804521,0.1182647670028075,-2.8067548780950453,-0.1066973118909864,-0.5151643161528987,0.265394272637284,0.6844093830702633,0.154045569394187,0.04938494508687322,12.0,,,,,,,,,
frame,001,frame_median_subtracted,v,900.0,898.0115496512335,2733.9901017992115,1835.978552147978,0.003273015997988927,0.05718521076638409,-0.0998497191039462,0.0981013402769065,-5.864596369318564e-05,-0.10767273151073786,-0.5200683898985827,0.2704711301717043,0.6844093830702633,0.154045569394187,0.04938494508687322,12.0,,,,,,,,,
frame,001,frame_median_subtracted,s,900.0,-0.07005757224740757,0.18029094836900852,0.2503485206164161,0.003273015997988927,0.05718521076638409,-0.0998497191039462,0.0981013402769065,-0.4303708436978604,-0.10774270403619819,-0.5201763875295112,0.27058347414325234,0.6844093830702633,0.154045569394187,0.04938494508687322,12.0,,,,,,,,,
frame,001,frame_median_subtracted,t,900.0,-0.012467663216135585,0.025546811337268327,0.03801447455340391,0.003273015997988927,0.05718521076638409,-0.0998497191039462,0.0981013402769065,-2.8067548780950453,-0.1066973118909864,-0.5151643161528987,0.265394272637284,0.6844093830702633,0.154045569394187,0.04938494508687322,12.0,,,,,,,,,
frame,002,raw,v,900.0,871.9931775972348,2814.9996280130126,1943.0064504157779,0.01600183510100793,0.07369313732044314,-0.13803735127679034,0.08769081433809446,9.350216843331284e-05,0.1816753163937894,0.7021163350407783,0.4929673479310943,0.8298434236841274,0.20878104084477095,0.07007740251980284,12.0,,,,,,,,,
frame,002,raw,s,900.0,-0.07352788795200108,0.19117298438062022,0.2647008723326213,0.01600183510100793,0.07369313732044314,-0.13803735127679034,0.08769081433809446,0.6865276554294808,0.18172446927265282,0.701974013794386,0.4927675160426003,0.8298434236841274,0.20878104084477095,0.07007740251980284,12.0,,,,,,,,,
frame,002,raw,t,900.0,-0.0019279342433603237,-0.0012557041367885554,0.0006722301065717683,0.01600183510100793,0.07369313732044314,-0.13803735127679034,0.08769081433809446,46.965194010322854,0.03157141737472311,0.0770396079479303,0.005935101192770964,0.46456574804279294,0.18644198516022242,0.0524328555979916,12.0,,,,,,,,,
frame,002,frame_median_subtracted,v,900.0,871.9931775972348,2814.9996280130126,1943.0064504157779,-0.0264005367168353,0.07369313732044314,-0.18043972309463358,0.04528844252025123,9.350216843331286e-05,0.18167531639378942,0.7021163350407783,0.4929673479310943,0.8298434236841274,0.20878104084477095,0.07007740251980284,12.0,,,,,,,,,
frame,002,frame_median_subtracted,s,900.0,-0.07352788795200108,0.19117298438062022,0.2647008723326213,-0.0264005367168353,0.07369313732044314,-0.18043972309463358,0.04528844252025123,0.686527655429481,0.18172446927265287,0.701974013794386,0.4927675160426003,0.8298434236841274,0.20878104084477095,0.07007740251980284,12.0,,,,,,,,,
frame,002,frame_median_subtracted,t,900.0,-0.0019279342433603237,-0.0012557041367885554,0.0006722301065717683,-0.0264005367168353,0.07369313732044314,-0.18043972309463358,0.04528844252025123,46.96519401032286,0.03157141737472311,0.0770396079479303,0.005935101192770742,0.46456574804279294,0.18644198516022242,0.052432855597991594,12.0,,,,,,,,,
frame,003,raw,v,900.0,168.99015535080898,2705.0156961347025,2536.0255407838936,0.06416570689697172,0.0774437820578801,-0.08988107373001526,0.1623049151906173,6.22746734268768e-05,0.1579301623545356,0.5918554088288496,0.35029282495996494,0.6170404644965223,0.22110144670184734,0.06350329327258086,12.0,,,,,,,,,
frame,003,raw,s,900.0,-0.16919659176518298,0.17608444268503382,0.3452810344502168,0.06416570689697172,0.0774437820578801,-0.08988107373001526,0.1623049151906173,0.45754188799725515,0.1579805363919975,0.591790735732913,0.3502162748993025,0.6170404644965223,0.22110144670184734,0.06350329327258086,12.0,,,,,,,,,
frame,003,raw,t,900.0,-0.011890255903807767,0.02586134865403993,0.03775160455784769,0.06416570689697172,0.0774437820578801,-0.08988107373001526,0.1623049151906173,-4.191393035114054,-0.15823181240814277,-0.5901019894435454,0.34822035794523043,0.6170404644965224,0.22110144670184734,0.06350329327258086,12.0,,,,,,,,,
frame,003,frame_median_subtracted,v,900.0,168.99015535080898,2705.0156961347025,2536.0255407838936,-0.0200818154073094,0.0774437820578801,-0.17412859603429637,0.07805739288633616,6.227467342687685e-05,0.15793016235453575,0.5918554088288496,0.35029282495996494,0.6170404644965223,0.22110144670184734,0.06350329327258085,12.0,,,,,,,,,
frame,003,frame_median_subtracted,s,900.0,-0.16919659176518298,0.17608444268503382,0.3452810344502168,-0.0200818154073094,0.0774437820578801,-0.17412859603429637,0.07805739288633616,0.4575418879972551,0.15798053639199747,0.591790735732913,0.3502162748993025,0.6170404644965223,0.22110144670184734,0.06350329327258085,12.0,,,,,,,,,
frame,003,frame_median_subtracted,t,900.0,-0.011890255903807767,0.02586134865403993,0.03775160455784769,-0.0200818154073094,0.0774437820578801,-0.17412859603429637,0.07805739288633616,-4.191393035114054,-0.15823181240814277,-0.5901019894435454,0.34822035794523043,0.6170404644965224,0.22110144670184734,0.06350329327258085,12.0,,,,,,,,,
frame,004,raw,v,900.0,49.00791335741325,2077.718937690636,2028.7110243332227,0.027241619183197372,0.10105003048206278,-0.10151178837010093,0.19883696511665788,-0.00010965157822451141,-0.22245136557960304,-0.6265338257974502,0.39254463486838975,0.7554428898682475,0.2530304472084436,0.0916832794791081,12.0,,,,,,,,,
frame,004,raw,s,900.0,-0.18567262216848907,0.09070180877567971,0.2763744309441688,0.027241619183197372,0.10105003048206278,-0.10151178837010093,0.19883696511665788,-0.8052726870162363,-0.22255678062899406,-0.6267198502893796,0.392777770746742,0.7554428898682475,0.2530304472084436,0.0916832794791081,12.0,,,,,,,,,
frame,004,raw,t,900.0,0.010951410211713614,0.014460781325743433,0.0035093711140298193,0.027241619183197372,0.10105003048206278,-0.10151178837010093,0.19883696511665788,-62.175282171219635,-0.21819613925833142,-0.6159597634264536,0.37940643016037323,0.7250685170360343,0.24534944080798746,0.08982119827358141,12.0,,,,,,,,,
frame,004,frame_median_subtracted,v,900.0,49.00791335741325,2077.718937690636,2028.7110243332227,0.007839201796965654,0.10105003048206278,-0.12091420575633265,0.17943454773042616,-0.00010965157822451141,-0.22245136557960304,-0.6265338257974502,0.39254463486838975,0.7554428898682475,0.2530304472084436,0.0916832794791081,12.0,,,,,,,,,
frame,004,frame_median_subtracted,s,900.0,-0.18567262216848907,0.09070180877567971,0.2763744309441688,0.007839201796965654,0.10105003048206278,-0.12091420575633265,0.17943454773042616,-0.8052726870162363,-0.22255678062899406,-0.6267198502893796,0.39277777074674214,0.7554428898682475,0.2530304472084436,0.0916832794791081,12.0,,,,,,,,,
frame,004,frame_median_subtracted,t,900.0,0.010951410211713614,0.014460781325743433,0.0035093711140298193,0.007839201796965654,0.10105003048206278,-0.12091420575633265,0.17943454773042616,-62.175282171219656,-0.21819613925833148,-0.6159597634264536,0.3794064301603731,0.7250685170360343,0.24534944080798746,0.08982119827358141,12.0,,,,,,,,,
frame,005,raw,v,900.0,251.018110032898,2961.036089734711,2710.0179797018127,0.027218156309804096,0.07167598982870861,-0.09713036300262275,0.13762128801037077,-8.6817795198492e-06,-0.023527778594598304,-0.0952108866716576,0.009065112940803255,0.5634355301848629,0.18499093889231516,0.05616279151081602,12.0,,,,,,,,,
frame,005,raw,s,900.0,-0.1581002785822153,0.211245681143351,0.3693459597255663,0.027218156309804096,0.07167598982870861,-0.09713036300262275,0.13762128801037077,-0.06394047961986059,-0.02361615781051042,-0.0955225237536977,0.009124552544275688,0.5634355301848629,0.18499093889231516,0.05616279151081602,12.0,,,,,,,,,
frame,005,raw,t,900.0,0.010421550499471934,0.015193208059538776,0.004771657560066842,0.027218156309804096,0.07167598982870861,-0.09713036300262275,0.13762128801037077,-0.7919436307776693,-0.0037788838129470493,-0.015609629906666632,0.00024366054582314334,0.5625473090082352,0.18509637113443508,0.05611850547120596,12.0,,,,,,,,,
frame,005,frame_median_subtracted,v,900.0,251.018110032898,2961.036089734711,2710.0179797018127,-0.009483168611435026,0.07167598982870861,-0.13383168792386185,0.10091996308913165,-8.681779519849202e-06,-0.023527778594598307,-0.0952108866716576,0.009065112940803255,0.5634355301848629,0.18499093889231516,0.05616279151081602,12.0,,,,,,,,,
frame,005,frame_median_subtracted,s,900.0,-0.1581002785822153,0.211245681143351,0.3693459597255663,-0.009483168611435026,0.07167598982870861,-0.13383168792386185,0.10091996308913165,-0.06394047961986057,-0.023616157810510414,-0.0955225237536977,0.009124552544275688,0.5634355301848629,0.18499093889231516,0.05616279151081602,12.0,,,,,,,,,
frame,005,frame_median_subtracted,t,900.0,0.010421550499471934,0.015193208059538776,0.004771657560066842,-0.009483168611435026,0.07167598982870861,-0.13383168792386185,0.10091996308913165,-0.7919436307776718,-0.003778883812947062,-0.015609629906666632,0.00024366054582314334,0.5625473090082352,0.18509637113443508,0.056118505471205955,12.0,,,,,,,,,
frame,006,raw,v,900.0,637.9855184564794,2524.995058483226,1887.0095400267464,-0.026846359865282415,0.07772640907822721,-0.16973990706990208,0.08050482253542553,5.4539199734423344e-05,0.10291599020428105,0.3746135129604597,0.14033528409257634,0.7826290027122068,0.2370267889461699,0.0717793373244718,12.0,,,,,,,,,
